11/25/2023 7:44:08 PM  Counts:54060
1419.505750000  0.060032542
1419.512781250  0.059528895
1419.519812500  0.059473352
1419.526843750  0.059612347
1419.533875000  0.059552141
1419.540906250  0.060070906
1419.547937500  0.060552532
1419.554968750  0.060631829
1419.562000000  0.061398624
1419.569031250  0.062107732
1419.576062500  0.063204428
1419.583093750  0.063913778
1419.590125000  0.065071137
1419.597156250  0.066222953
1419.604187500  0.067048305
1419.611218750  0.068193403
1419.618250000  0.069103771
1419.625281250  0.070339191
1419.632312500  0.071398375
1419.639343750  0.072570750
1419.646375000  0.073821226
1419.653406250  0.075289790
1419.660437500  0.076096332
1419.667468750  0.077396316
1419.674500000  0.078908635
1419.681531250  0.079553778
1419.688562500  0.080553225
1419.695593750  0.081641550
1419.702625000  0.082911377
1419.709656250  0.083892129
1419.716687500  0.084915901
1419.723718750  0.085387066
1419.730750000  0.086584292
1419.737781250  0.087236801
1419.744812500  0.088070649
1419.751843750  0.088516738
1419.758875000  0.089445662
1419.765906250  0.090285375
1419.772937500  0.090055573
1419.779968750  0.091261853
1419.787000000  0.091620324
1419.794031250  0.092120488
1419.801062500  0.091918500
1419.808093750  0.092397128
1419.815125000  0.092761843
1419.822156250  0.093527786
1419.829187500  0.093380781
1419.836218750  0.093286406
1419.843250000  0.093718168
1419.850281250  0.093982783
1419.857312500  0.093789889
1419.864343750  0.093782370
1419.871375000  0.093747816
1419.878406250  0.093305537
1419.885437500  0.093819938
1419.892468750  0.093276860
1419.899500000  0.093083632
1419.906531250  0.092860390
1419.913562500  0.092576745
1419.920593750  0.092965858
1419.927625000  0.092544935
1419.934656250  0.092455662
1419.941687500  0.092094860
1419.948718750  0.091836318
1419.955750000  0.091587820
1419.962781250  0.090904296
1419.969812500  0.091285878
1419.976843750  0.090889839
1419.983875000  0.090724222
1419.990906250  0.090735529
1419.997937500  0.090140645
1420.004968750  0.090268620
1420.012000000  0.090102315
1420.019031250  0.089777245
1420.026062500  0.089791635
1420.033093750  0.089296320
1420.040125000  0.089350863
1420.047156250  0.089009620
1420.054187500  0.088813029
1420.061218750  0.088617747
1420.068250000  0.088515113
1420.075281250  0.088270385
1420.082312500  0.088332735
1420.089343750  0.088930679
1420.096375000  0.088444774
1420.103406250  0.088395379
1420.110437500  0.088156212
1420.117468750  0.088863220
1420.124500000  0.088714245
1420.131531250  0.088626293
1420.138562500  0.089120948
1420.145593750  0.088746252
1420.152625000  0.088960180
1420.159656250  0.089352641
1420.166687500  0.089611290
1420.173718750  0.089563464
1420.180750000  0.089709922
1420.187781250  0.089870559
1420.194812500  0.090146674
1420.201843750  0.090201759
1420.208875000  0.090729257
1420.215906250  0.091029313
1420.222937500  0.091040518
1420.229968750  0.091021568
1420.237000000  0.091554237
1420.244031250  0.091780776
1420.251062500  0.091719058
1420.258093750  0.092390173
1420.265125000  0.092546758
1420.272156250  0.092747143
1420.279187500  0.092971780
1420.286218750  0.093532059
1420.293250000  0.093418355
1420.300281250  0.093799322
1420.307312500  0.093988959
1420.314343750  0.094118797
1420.321375000  0.093986780
1420.328406250  0.094409866
1420.335437500  0.094734331
